Nom;SMS;Appels;Data(Mo);Validite;Prix
Mango Plenty J;25;0;0;1;100
Mango Plenty S;1000;1460;0;7;250
Mango Plenty M;10000;1950;0;30;450
Mango Giga 3J 1200;0;0;1000;3;1200
Mango Giga 3J 5400;0;0;4000;3;5400
Mango Giga 7J 2650;0;0;7000;7;2650
Mango Giga 7J 5400;0;0;14000;7;5600
Mango Giga 7J 15400;0;0;35000;7;15400
Mango Giga 30J 10000;0;0;30000;30;21500
Mango Giga 30J 21500;0;0;60000;30;21500
Mango Flex 300-1;100;1300;30;7;300
Mango Flex 300-2;100;1500;0;7;300
Mango Flex 300-3;100;1400;25;7;300
Mango Flex 300-4;100;1200;0;7;300
Mango Ps combo;10000;15000;6000;30;5000
Mango Ps 2100;0;0;4500;30;2100
Mango Ps talk;0;10000;0;30;1000
Mango Ps 1200;0;0;2200;30;1200
Mango Ps 500;0;0;900;30;500
Mango Ps 400;10000;0;0;30;400
Mango Ps 50;0;0;50;1;5000
